Geneid	Chr	Start	End	Strand	Length	wt35_1.1st	wt35_2.1st	wt35_3.1st	wt35_1.3st	wt35_2.3st	wt35_3.3st	wt35_4.3st	Mut218_1.3st	Mut218_2.3st	Mut218_3.3st
YCR069W	chrIII	239055	240011	+	957	653	1061	642	953	633	811	630	567	569	597
YCR071C	chrIII	240103	240543	-	441	151	164	142	182	172	208	244	198	219	215
YCR072C	chrIII	240805	242352	-	1548	107	209	180	196	209	238	183	215	307	223
YCR073C	chrIII	242588	246583	-	3996	702	1054	634	871	488	662	436	691	660	578
YCR073W-A	chrIII	246963	247910	+	948	176	329	197	226	194	217	142	353	368	439
YCR075C	chrIII	248033	248815	-	783	95	113	64	133	89	106	73	64	53	64
YCR075W-A	chrIII	248975	249202	+	228	51	65	37	57	46	58	53	59	54	56
YCR076C	chrIII	249293	250045	-	753	221	284	155	320	266	288	240	218	198	216
YCR077C	chrIII	250238	252628	-	2391	406	602	324	367	258	380	330	479	414	521
YCR079W	chrIII	252845	254173	+	1329	114	142	87	133	92	119	78	132	145	159
YCR081W	chrIII	254371	258654	+	4284	132	215	92	97	70	122	98	142	136	202
YCR081C-A	chrIII	258415	258651	-	237	0	0	0	0	0	0	0	0	0	0
YCR082W	chrIII	258883	259269	+	387	502	778	500	595	513	647	563	616	612	578
YCR083W	chrIII	259578	259961	+	384	167	197	147	222	147	181	142	210	197	225
YCR084C	chrIII	260311	262452	-	2142	396	655	399	330	380	352	368	463	476	611
YCR085W	chrIII	262916	263269	+	354	1	1	4	2	0	0	5	1	1	4
YCR086W	chrIII	263392	263964	+	573	37	59	47	54	51	50	52	82	87	76
YCR087W	chrIII	263976	264491	+	516	3	3	1	0	0	0	1	0	0	0
YCR087C-A	chrIII	264006	264467	-	462	0	0	0	0	0	0	0	0	0	0
YCR088W	chrIII	265068	266846	+	1779	794	1213	819	1071	1168	1091	1249	1232	1198	1338
YCR089W	chrIII	267434	272263	+	4830	383	555	307	412	196	314	170	150	184	213
YCR090C	chrIII	272315	272863	-	549	196	278	179	216	214	240	266	317	310	337
YCR091W	chrIII	274404	276566	+	2163	205	350	132	199	155	196	157	261	259	518
YCR092C	chrIII	276764	279820	-	3057	204	266	150	193	128	213	161	153	168	190
YCR093W	chrIII	280117	286443	+	6327	435	613	368	394	302	384	390	350	393	492
YCR094W	chrIII	286762	287937	+	1176	216	383	206	257	255	251	249	238	272	289
YCR095C	chrIII	288170	289258	-	1089	275	418	253	299	218	272	292	279	267	446
YCR095W-A	chrIII	289639	289797	+	159	22	21	16	21	11	14	3	10	11	19
YCR096C	chrIII	293179	293538	-	360	8	14	5	13	10	13	4	5	4	8
YCR097W	chrIII	293835	294321	+	487	0	0	0	0	0	0	0	0	0	0
YCR097W-A	chrIII	294439	294705	+	267	0	1	1	0	0	0	0	0	0	0
YCR098C	chrIII	297049	298605	-	1557	49	46	37	43	32	34	39	46	46	55
YCR099C	chrIII	300832	301299	-	468	264	375	190	182	119	171	83	121	108	129
YCR100C	chrIII	301271	302221	-	951	147	228	122	111	74	89	76	162	163	194
YCR101C	chrIII	302482	303030	-	549	32	63	48	29	11	33	20	88	80	75
YCR102C	chrIII	304361	305467	-	1107	69	104	59	79	83	85	69	100	93	114
YCR102W-A	chrIII	306735	306932	+	198	7	8	14	3	3	13	7	9	16	39
YCR104W	chrIII	307801	308175	+	375	15	23	14	24	19	16	12	22	22	31
YCR105W	chrIII	309070	310155	+	1086	29	42	33	31	39	32	31	45	47	73
YCR106W	chrIII	310958	313456	+	2499	155	276	161	122	126	146	125	132	148	188
YCR107W	chrIII	313890	314981	+	1092	586	879	523	470	293	403	239	122	146	161
YCR108C	chrIII	315997	316188	-	192	1	0	1	1	1	1	1	1	1	2
YDL248W	chrIV	1802	2953	+	1152	81	105	73	144	128	161	108	144	132	158
YDL247W-A	chrIV	3762	3836	+	75	10	11	6	6	2	4	3	2	1	0
YDL247W	chrIV	5985	7814	+	1830	10	18	14	9	4	8	5	8	7	13
YDL246C	chrIV	8683	9756	-	1074	11	15	9	13	13	13	11	17	11	22
YDL245C	chrIV	11657	13360	-	1704	23	31	20	24	24	29	27	50	59	58
YDL244W	chrIV	16204	17226	+	1023	23	36	29	37	25	33	29	39	61	70
YDL243C	chrIV	17577	18566	-	990	441	649	431	395	432	481	424	394	413	430
YDL242W	chrIV	18959	19312	+	354	23	25	21	23	20	25	17	22	25	35
YDL241W	chrIV	20635	21006	+	372	34	69	43	29	32	30	33	39	57	44
YDL240C-A	chrIV	22471	22608	-	138	10	7	4	8	4	5	1	4	1	1
YDL240W	chrIV	22823	25876	+	3054	147	182	112	100	81	104	96	78	73	106
YDL239C	chrIV	26403	28775	-	2373	230	214	111	168	89	134	106	69	69	80
YDL238C	chrIV	28985	30454	-	1470	117	162	132	151	161	172	157	210	179	212
YDL237W	chrIV	30657	31829	+	1173	563	805	470	649	581	642	488	478	504	534
YDL236W	chrIV	32296	33234	+	939	897	1208	816	1144	1195	1226	1218	982	1053	951
YDL235C	chrIV	33415	33918	-	504	246	330	167	252	200	276	219	313	349	384
YDL234C	chrIV	34237	36477	-	2241	803	1230	704	890	696	1027	665	1076	1106	1404
YDL233W	chrIV	36797	38173	+	1377	284	362	257	287	268	293	234	302	344	365
YDL232W	chrIV	38487	38597	+	111	77	120	70	63	64	92	49	107	115	96
YDL231C	chrIV	38867	42244	-	3378	733	1062	661	683	507	702	534	460	455	589
YDL230W	chrIV	42700	43707	+	1008	233	320	194	297	186	210	174	225	260	273
YDL229W	chrIV	44065	45906	+	1842	654	1220	820	728	904	778	731	1107	1051	831
YDL228C	chrIV	45277	45918	-	642	3	2	1	0	2	0	0	1	0	1
YDL227C	chrIV	46271	48031	-	1761	89	129	99	90	88	69	87	56	68	82
YDL226C	chrIV	51115	52173	-	1059	281	435	293	310	270	288	300	340	351	354
YDL225W	chrIV	52445	54100	+	1656	313	485	315	294	283	369	373	360	398	413
YDL224C	chrIV	54397	56346	-	1950	475	669	344	396	354	371	311	339	342	416
YDL223C	chrIV	57265	60405	-	3141	182	349	210	199	171	228	158	594	686	1003
YDL222C	chrIV	60872	61801	-	930	90	214	110	126	146	112	91	117	138	174
YDL221W	chrIV	62011	62562	+	552	22	49	30	32	31	32	34	44	42	42
YDL220C	chrIV	62244	65018	-	2775	71	125	64	124	90	105	105	102	108	125
YDL219W	chrIV	65242	65765	+	524	134	152	82	157	136	176	176	168	164	210
YDL218W	chrIV	66493	67446	+	954	41	68	50	63	56	54	40	30	22	28
YDL217C	chrIV	67983	68606	-	624	131	177	134	134	118	146	123	185	168	151
YDL216C	chrIV	68997	70319	-	1323	203	277	174	192	159	176	138	116	121	117
YDL215C	chrIV	70640	73918	-	3279	1044	1453	775	1135	703	1022	847	1286	843	1146
YDL214C	chrIV	74446	76545	-	2100	251	373	151	360	170	270	112	163	182	328
YDL213C	chrIV	77289	77966	-	678	227	362	341	471	445	357	494	560	579	594
YDL212W	chrIV	78426	79058	+	633	593	707	464	706	684	637	722	744	569	616
YDL211C	chrIV	79294	80412	-	1119	66	110	63	57	38	35	29	42	45	51
YDL210W	chrIV	84270	85985	+	1716	69	88	41	49	36	48	55	60	56	66
YDL209C	chrIV	86207	87226	-	1020	96	148	97	103	94	118	94	99	110	141
YDL208W	chrIV	87512	87982	+	471	267	543	405	520	587	436	535	524	531	473
YDL207W	chrIV	88248	89864	+	1617	574	989	725	772	682	634	666	537	589	638
YDL206W	chrIV	90176	92464	+	2289	235	364	160	180	118	198	142	166	197	222
YDL205C	chrIV	92762	93745	-	984	139	238	162	131	118	142	118	209	146	168
YDL204W	chrIV	94605	95786	+	1182	132	352	128	174	131	176	86	135	131	270
YDL203C	chrIV	96082	97953	-	1872	229	317	208	228	168	207	175	204	206	274
YDL202W	chrIV	98475	99224	+	750	111	212	111	188	159	180	181	215	206	241
YDL201W	chrIV	99561	100421	+	861	125	166	144	144	125	137	159	141	180	147
YDL200C	chrIV	100501	101067	-	567	367	510	321	327	223	278	250	180	165	167
YDL199C	chrIV	101290	103353	-	2064	1087	1754	1125	742	480	681	383	184	194	269
YDL198C	chrIV	103649	104551	-	903	1225	1488	1007	1290	1033	1171	957	599	652	638
YDL197C	chrIV	104917	106494	-	1578	276	443	248	460	258	346	258	396	437	667
YDL196W	chrIV	106741	107070	+	330	1	10	6	2	4	4	4	7	8	3
YDL195W	chrIV	107208	111029	+	3822	1089	1732	975	1152	1019	1095	944	1436	1561	2268
YDL194W	chrIV	111580	114234	+	2655	504	837	358	406	368	459	318	547	699	795
YDL193W	chrIV	114672	115799	+	1128	499	706	436	481	574	673	655	916	1233	1864
YDL192W	chrIV	116321	116866	+	546	1146	1521	1057	1594	1502	1326	1630	1891	1677	1829
YDL191W	chrIV	117664	118517	+	854	268	477	347	336	305	415	432	421	424	438
YDL190C	chrIV	118707	121592	-	2886	637	960	545	598	456	690	543	532	477	626
YDL189W	chrIV	122078	123589	+	1512	754	1131	822	682	609	636	582	459	473	448
YDL188C	chrIV	123865	124998	-	1134	301	501	331	410	371	412	371	457	418	552
YDL187C	chrIV	125509	125838	-	330	2	7	0	3	2	4	4	1	0	1
YDL186W	chrIV	125616	126449	+	834	29	53	51	48	36	36	22	68	70	51
YDL185C-A	chrIV	126608	126835	-	228	0	0	0	0	0	0	0	0	0	0
YDL185W	chrIV	126787	130002	+	3216	3883	5881	3466	4527	4030	4585	4376	3794	3947	4299
YDL184C	chrIV	130407	130484	-	78	1291	1969	1376	1910	1616	2105	2509	1924	1897	2275
YDL183C	chrIV	130871	131833	-	963	151	188	109	166	95	154	105	115	112	139
YDL182W	chrIV	133437	134723	+	1287	1776	2349	1538	3029	1892	1964	1193	1186	1394	868
YDL181W	chrIV	135179	135436	+	258	367	445	242	379	222	311	283	262	213	228
YDL180W	chrIV	135896	137539	+	1644	636	938	585	576	455	648	418	435	494	837
YDL179W	chrIV	138291	139205	+	915	103	161	90	147	104	142	133	210	193	237
YDL178W	chrIV	139522	141114	+	1593	674	965	630	1112	990	944	1142	756	635	725
YDL177C	chrIV	141209	141721	-	513	84	133	86	85	65	52	64	64	75	72
YDL176W	chrIV	142097	144223	+	2127	335	465	292	252	187	266	213	215	231	249
YDL175C	chrIV	144484	145518	-	1035	255	423	257	299	226	269	194	191	177	256
YDL174C	chrIV	145826	147589	-	1764	1153	1865	1219	2284	2071	2213	2329	2042	2197	2744
YDL173W	chrIV	148191	149078	+	888	173	210	147	214	213	117	144	186	230	203
YDL172C	chrIV	148607	149086	-	480	0	0	0	0	0	0	0	0	0	0
YDL171C	chrIV	149203	155640	-	6438	2623	3354	2036	3438	2383	2525	2111	1212	1301	1269
YDL170W	chrIV	156318	157904	+	1587	1863	2498	1636	1428	852	1232	695	468	476	616
YDL169C	chrIV	158064	158735	-	672	369	533	259	463	347	455	401	364	321	387
YDL168W	chrIV	159604	160764	+	1161	3007	4680	2309	4648	3268	4051	2877	3731	3710	4918
YDL167C	chrIV	160995	163154	-	2160	225	295	202	197	173	259	136	206	183	171
YDL166C	chrIV	163449	164042	-	594	157	230	197	285	317	279	284	271	265	261
YDL165W	chrIV	164290	164865	+	576	194	271	178	258	227	235	198	253	251	251
YDL164C	chrIV	164987	167254	-	2268	102	160	127	137	142	145	159	212	192	241
YDL163W	chrIV	166956	167258	+	303	0	0	0	0	0	0	0	0	0	0
YDL162C	chrIV	167359	167715	-	357	1	1	1	1	2	1	1	0	2	2
YDL161W	chrIV	167714	169078	+	1365	318	545	362	501	476	472	395	524	523	608
YDL160C-A	chrIV	169366	169608	-	243	44	56	35	87	47	81	70	75	64	73
YDL160C	chrIV	170410	171930	-	1521	106	164	93	85	86	117	98	115	129	202
YDL159W-A	chrIV	172182	172313	+	132	3	0	0	0	0	7	1	1	0	3
YDL159W	chrIV	172481	174028	+	1548	123	173	92	144	105	113	79	122	147	205
YDL159C-B	chrIV	173056	173232	-	177	0	0	0	0	0	0	0	0	0	0
YDL158C	chrIV	173866	174174	-	309	18	10	8	19	3	20	10	6	5	6
YDL157C	chrIV	174232	174588	-	357	156	241	156	161	159	170	148	233	168	171
YDL156W	chrIV	174918	176486	+	1569	30	39	22	32	24	44	34	42	64	68
YDL155W	chrIV	176773	178056	+	1284	214	260	200	238	227	198	181	226	188	235
YDL154W	chrIV	178334	181039	+	2706	177	316	178	176	143	215	137	129	133	143
YDL153C	chrIV	181186	183018	-	1833	165	328	318	295	284	355	408	405	392	366
YDL152W	chrIV	182822	183187	+	366	0	0	1	0	0	0	0	0	0	0
YDL151C	chrIV	183318	183899	-	582	0	0	0	0	0	1	1	1	0	0
YDL150W	chrIV	183343	184611	+	1269	113	204	202	239	213	222	235	184	230	154
YDL149W	chrIV	184925	187918	+	2994	334	443	260	256	217	273	241	201	200	279
YDL148C	chrIV	188154	190586	-	2433	127	287	230	202	165	256	205	236	219	202
YDL147W	chrIV	190924	192261	+	1338	1873	2799	1602	2122	1722	2218	2244	1895	1582	1968
YDL146W	chrIV	192750	194225	+	1476	245	287	155	216	128	173	138	136	135	168
YDL145C	chrIV	194571	198176	-	3606	935	1351	843	983	794	858	972	913	889	1085
YDL144C	chrIV	198662	199732	-	1071	219	301	207	322	260	255	245	244	257	242
YDL143W	chrIV	199996	201582	+	1587	722	1124	727	779	827	848	868	951	933	911
YDL142C	chrIV	201719	202570	-	852	315	374	186	297	223	257	254	194	209	273
YDL141W	chrIV	203039	205111	+	2073	346	501	287	298	254	245	226	201	273	273
YDL140C	chrIV	205360	210561	-	5202	988	1672	1048	1083	1009	1025	889	1073	998	1223
YDL139C	chrIV	211375	212046	-	672	340	497	365	427	383	490	349	261	277	292
YDL138W	chrIV	213351	215642	+	2292	318	464	293	368	293	366	288	258	279	275
YDL137W	chrIV	216158	217074	+	917	1307	1973	1196	1940	1695	1817	2006	2140	1820	1851
YDL136W	chrIV	217600	218367	+	768	354	474	364	344	349	359	357	383	352	382
YDL135C	chrIV	218680	219288	-	609	308	360	241	266	243	282	303	430	395	471
YDL134C	chrIV	219662	220771	-	1110	375	661	427	742	560	626	560	569	565	631
YDL133C-A	chrIV	221724	221801	-	78	790	1231	999	1002	1073	1492	1824	1758	1782	1996
YDL133W	chrIV	222427	223740	+	1314	231	329	218	247	188	239	171	206	206	242
YDL132W	chrIV	224304	226751	+	2448	940	1421	911	949	902	1021	900	751	658	734
YDL131W	chrIV	227393	228715	+	1323	2671	3932	3089	3928	3316	3592	3076	1869	2419	1601
YDL130W-A	chrIV	229171	229431	+	261	555	826	411	1123	832	1208	1100	838	737	822
YDL130W	chrIV	229906	230527	+	622	399	612	532	506	602	610	561	687	712	688
YDL129W	chrIV	231024	231899	+	876	65	88	45	49	42	43	35	48	48	69
YDL128W	chrIV	232652	233887	+	1236	596	800	506	667	491	571	455	575	492	600
YDL127W	chrIV	234927	235853	+	927	99	110	61	116	73	78	56	80	75	86
YDL126C	chrIV	236157	238664	-	2508	5102	8036	5079	7267	7627	7543	7455	6312	6264	7347
YDL125C	chrIV	239019	239606	-	588	1668	1468	1044	2901	1783	2038	1720	1226	1038	1185
YDL124W	chrIV	240259	241197	+	939	1898	2645	1576	2290	2315	2483	2288	3305	2511	3903
YDL123W	chrIV	241418	241840	+	423	205	260	159	303	202	211	156	189	193	226
YDL122W	chrIV	242552	244981	+	2430	659	1031	709	1046	825	987	935	976	937	1081
YDL121C	chrIV	245133	245582	-	450	109	148	114	111	114	150	139	136	141	148
YDL120W	chrIV	245923	246447	+	525	212	343	176	397	356	343	325	329	277	296
YDL119C	chrIV	246689	247612	-	924	107	114	91	131	133	98	122	175	183	172
YDL118W	chrIV	247302	247682	+	381	1	7	3	5	1	7	1	1	1	10
YDL117W	chrIV	248581	251238	+	2658	259	406	301	288	252	291	316	487	390	443
YDL116W	chrIV	251566	253746	+	2181	372	488	272	329	246	311	253	298	259	401
YDL115C	chrIV	253995	255126	-	1132	504	734	418	515	443	590	541	451	408	483
YDL114W-A	chrIV	254935	255048	+	114	0	0	0	0	0	0	0	0	0	0
YDL114W	chrIV	255604	256530	+	927	10	17	9	13	13	18	15	24	29	35
YDL113C	chrIV	256633	258555	-	1923	598	879	463	681	430	616	464	474	443	713
YDL112W	chrIV	258915	263225	+	4311	420	635	422	402	353	418	384	310	341	343
YDL111C	chrIV	263313	264110	-	798	304	387	237	350	236	295	239	369	308	394
YDL110C	chrIV	264512	264964	-	453	833	1120	573	1256	890	856	756	766	684	781
YDL109C	chrIV	265258	267201	-	1944	119	161	96	108	99	105	83	106	113	151
YDL108W	chrIV	267698	268699	+	1002	224	307	216	222	165	190	168	179	224	227
YDL107W	chrIV	268921	269976	+	1056	143	226	128	167	142	198	238	183	183	219
YDL106C	chrIV	270222	271901	-	1680	253	327	189	214	161	216	162	190	196	245
YDL105W	chrIV	272389	273597	+	1209	61	88	70	80	63	80	77	76	68	79
YDL104C	chrIV	273653	274876	-	1224	264	381	296	273	228	283	274	164	179	196
YDL103C	chrIV	275148	276581	-	1434	261	349	229	384	400	343	436	416	336	454
YDL102W	chrIV	276872	280165	+	3294	178	300	187	251	223	265	257	342	310	366
YDL101C	chrIV	280307	281848	-	1542	92	150	95	189	132	194	173	223	230	303
YDL100C	chrIV	282112	283176	-	1065	941	1565	1106	1387	1508	1632	2014	1575	1639	1689
YDL099W	chrIV	283419	284444	+	1026	568	1233	1098	1356	1454	1041	1573	1202	1183	1312
YDL098C	chrIV	284581	285165	-	585	87	107	60	90	60	76	97	138	133	148
YDL097C	chrIV	285391	286695	-	1305	1265	1876	1180	1698	1478	1684	1617	1711	1662	1803
YDL096C	chrIV	286998	287324	-	327	2	8	3	6	4	2	3	0	0	0
YDL095W	chrIV	287059	289512	+	2454	704	999	742	734	828	848	927	1249	1284	1439
YDL094C	chrIV	289572	290081	-	510	10	11	8	11	11	14	14	6	8	14
YDL093W	chrIV	289909	292140	+	2232	307	408	248	291	224	259	235	235	215	326
YDL092W	chrIV	292781	293221	+	441	615	760	495	535	537	530	644	327	342	412
YDL091C	chrIV	293392	294759	-	1368	260	343	199	302	243	367	247	250	261	374
YDL090C	chrIV	295034	296329	-	1296	311	474	330	382	340	365	288	221	222	271
YDL089W	chrIV	296820	298274	+	1455	135	237	119	178	123	149	146	129	133	171
YDL088C	chrIV	298417	300003	-	1587	268	303	162	261	189	254	162	239	226	329
YDL087C	chrIV	300214	300999	-	786	137	184	162	146	119	138	128	130	120	139
YDL086W	chrIV	301413	302234	+	822	288	420	275	560	437	466	427	365	305	317
YDL086C-A	chrIV	301655	302089	-	435	0	0	0	0	0	0	0	0	0	0
YDL085C-A	chrIV	302464	302670	-	207	264	327	206	267	184	255	214	140	148	134
YDL085W	chrIV	303211	304848	+	1638	2358	3051	997	2027	1035	1485	547	192	181	186
YDL084W	chrIV	305237	306577	+	1341	1724	2569	1602	2098	2018	2084	2209	1861	1915	2060
YDL083C	chrIV	306926	307789	-	864	458	731	639	702	687	742	666	657	601	641
YDL082W	chrIV	308424	309388	+	965	466	752	668	612	629	692	680	682	673	595
YDL081C	chrIV	309802	310122	-	321	714	973	912	902	973	970	998	1215	1142	1187
YDL080C	chrIV	310642	312471	-	1830	511	667	489	551	448	527	506	326	336	371
YDL079C	chrIV	312951	314748	-	1798	380	591	328	522	281	476	271	369	305	510
YDL078C	chrIV	315357	316388	-	1032	859	971	593	1196	785	831	878	759	697	860
YDL077C	chrIV	316971	320120	-	3150	229	373	221	256	207	259	206	224	233	301
YDL076C	chrIV	320668	321552	-	885	449	664	431	392	276	359	317	282	300	341
YDL075W	chrIV	322226	322988	+	763	981	1626	1589	1423	1367	1470	1626	1557	1491	1524
YDL074C	chrIV	324047	326149	-	2103	544	811	484	538	424	620	490	357	327	477
YDL073W	chrIV	326613	329567	+	2955	588	876	578	422	347	470	442	361	368	408
YDL072C	chrIV	329836	330447	-	612	1265	1650	980	1795	1406	1665	1245	1556	1467	1529
YDL071C	chrIV	330666	331040	-	375	10	14	13	15	9	11	8	13	5	9
YDL070W	chrIV	331024	332940	+	1917	880	1364	834	1037	842	1417	1181	976	848	1141
YDL069C	chrIV	333121	333810	-	690	35	38	33	29	24	35	36	38	29	40
YDL068W	chrIV	333500	333829	+	330	2	6	1	2	6	2	2	0	1	1
YDL067C	chrIV	334217	334396	-	180	601	618	307	421	274	298	265	349	323	352
YDL066W	chrIV	334835	336121	+	1287	2620	3159	1925	2027	1394	1596	1365	981	972	931
YDL065C	chrIV	336249	337277	-	1029	265	482	317	437	480	559	631	563	543	639
YDL064W	chrIV	337487	338070	+	584	158	194	137	189	195	200	205	258	229	277
YDL063C	chrIV	338272	340134	-	1863	99	184	143	130	139	177	118	183	203	142
YDL062W	chrIV	339857	340282	+	426	0	1	0	0	0	0	1	0	1	2
YDL061C	chrIV	340628	341219	-	592	444	717	607	633	577	669	608	665	598	600
YDL060W	chrIV	341619	343985	+	2367	212	401	306	310	318	339	331	349	359	415
YDL059C	chrIV	344237	344953	-	717	310	470	299	208	305	220	354	474	169	844
YDL058W	chrIV	345665	351037	+	5373	795	1247	803	671	670	821	831	591	570	721
YDL057W	chrIV	351434	352420	+	987	208	260	175	424	306	335	218	255	285	267
YDL056W	chrIV	352877	355378	+	2502	238	409	255	316	260	378	318	255	253	335
YDL055C	chrIV	355674	356759	-	1086	1954	2927	1755	1807	1779	1782	1920	3251	2727	2888
YDL054C	chrIV	359825	361285	-	1461	825	972	522	596	314	393	225	190	234	234
YDL053C	chrIV	361699	362256	-	558	488	610	331	564	342	440	355	291	328	307
YDL052C	chrIV	362672	363583	-	912	469	782	490	536	617	613	552	474	611	579
YDL051W	chrIV	363952	364779	+	828	124	219	145	158	178	152	153	224	204	231
YDL050C	chrIV	364446	364817	-	372	0	2	1	2	1	1	3	5	1	2
YDL049C	chrIV	365068	365874	-	807	140	201	69	155	80	112	77	105	125	103
YDL048C	chrIV	366739	368211	-	1473	395	654	414	542	411	458	330	543	517	529
YDL047W	chrIV	369771	370706	+	936	356	538	302	421	333	377	290	446	477	516
YDL046W	chrIV	371240	371761	+	522	846	1141	664	1273	975	993	935	884	860	900
YDL045W-A	chrIV	372248	372535	+	288	124	198	107	160	134	170	164	160	149	202
YDL045C	chrIV	372688	373608	-	921	327	562	289	435	349	376	365	376	411	440
YDL044C	chrIV	373967	375289	-	1323	149	235	178	168	169	179	172	140	158	169
YDL043C	chrIV	375680	376480	-	801	100	167	117	101	101	130	105	99	117	117
YDL042C	chrIV	376757	378445	-	1689	157	257	171	172	161	169	171	179	153	169
YDL041W	chrIV	378102	378455	+	354	0	0	0	0	0	0	0	0	0	0
YDL040C	chrIV	378874	381438	-	2565	731	1010	665	722	698	844	884	827	783	939
YDL039C	chrIV	381985	384081	-	2097	107	184	127	192	233	261	186	833	627	650
YDL037C	chrIV	384601	385587	-	987	32	74	39	59	77	82	51	307	218	285
YDL036C	chrIV	387513	388901	-	1389	92	142	94	107	113	125	111	133	138	150
YDL035C	chrIV	389172	392057	-	2886	924	1454	880	803	572	765	504	762	767	838
YDL034W	chrIV	391783	392127	+	345	3	3	3	0	3	0	3	6	9	10
YDL033C	chrIV	392659	393912	-	1254	106	174	97	108	114	131	116	95	119	126
YDL032W	chrIV	393690	394001	+	312	0	0	0	0	0	0	0	0	0	0
YDL031W	chrIV	394217	397204	+	2988	354	659	577	563	532	549	570	543	622	619
YDL030W	chrIV	397537	399129	+	1593	245	397	267	280	294	344	269	216	242	262
YDL029W	chrIV	399340	400638	+	1299	1240	1651	1076	1808	1703	1608	1750	1654	1452	1699
YDL028C	chrIV	400997	403291	-	2295	271	355	214	261	187	258	242	285	265	384
YDL027C	chrIV	403695	404957	-	1263	167	211	118	167	137	185	142	196	193	226
YDL026W	chrIV	404749	405060	+	312	0	1	2	3	2	0	2	1	6	0
YDL025C	chrIV	405344	407206	-	1863	865	1207	648	1018	683	846	492	547	678	917
YDL025W-A	chrIV	405410	405514	+	105	0	0	0	0	0	0	0	0	0	0
YDL024C	chrIV	408451	409857	-	1407	81	119	76	119	84	91	85	76	72	102
YDL022C-A	chrIV	409808	410056	-	249	3	11	3	4	6	6	6	5	6	3
YDL023C	chrIV	411761	412081	-	321	0	0	0	0	0	1	3	1	0	2
YDL022W	chrIV	411825	413000	+	1176	1230	1756	917	1790	1426	1533	1105	952	1211	1281
YDL021W	chrIV	413953	414888	+	936	204	338	195	355	305	429	402	421	468	623
YDL020C	chrIV	415113	416708	-	1596	984	1543	764	1700	1143	1651	1106	1600	1654	2468
YDL019C	chrIV	417663	421514	-	3852	879	1386	776	1334	933	1265	930	698	786	965
YDL018C	chrIV	422833	423510	-	678	103	103	58	107	93	109	87	138	111	164
YDL017W	chrIV	424209	425732	+	1524	106	150	83	133	111	130	103	174	144	194
YDL016C	chrIV	425570	425872	-	303	65	80	97	97	81	112	94	79	57	68
YDL015C	chrIV	426002	426934	-	933	745	966	530	613	516	683	601	572	619	742
YDL014W	chrIV	427364	428347	+	984	548	1095	936	922	975	975	1147	1055	1081	903
YDL013W	chrIV	429067	430926	+	1860	388	583	472	437	360	453	341	359	396	467
YDL012C	chrIV	431108	431517	-	410	316	482	335	433	365	428	309	608	716	886
YDL011C	chrIV	432308	432631	-	324	0	1	1	1	0	0	1	0	3	1
YDL010W	chrIV	432330	433025	+	696	123	200	102	131	141	138	163	144	122	163
YDL009C	chrIV	432925	433248	-	324	105	163	90	139	143	149	182	146	132	123
YDL008W	chrIV	433497	433994	+	498	156	203	117	177	171	155	163	178	151	150
YDL007C-A	chrIV	436567	436824	-	258	0	5	0	0	0	0	0	0	0	1
YDL007W	chrIV	438047	439360	+	1314	1306	2127	1325	1616	1649	1891	2139	1858	1673	2111
YDL006W	chrIV	439909	440754	+	846	459	715	419	490	408	464	430	331	300	355
YDL005C	chrIV	441014	442309	-	1296	278	437	256	274	267	282	237	237	218	361
YDL004W	chrIV	443029	443511	+	483	441	753	369	729	543	662	666	837	726	756
YDL003W	chrIV	444683	446383	+	1701	75	82	70	82	76	101	119	190	164	217
YDL002C	chrIV	446967	447578	-	612	274	429	263	304	285	344	303	304	307	410
YDL001W	chrIV	447984	449276	+	1293	144	181	109	194	133	179	145	155	182	241
YDR001C	chrIV	450220	452475	-	2256	2128	3381	1968	3443	2488	3425	2065	2211	2344	2939
YDR002W	chrIV	453045	453650	+	606	1157	1623	833	1793	1519	1606	1678	1914	1644	1956
YDR003W	chrIV	454122	454754	+	633	278	399	226	397	276	383	246	282	268	331
YDR003W-A	chrIV	454782	454904	+	123	141	199	92	227	171	251	183	139	144	159
YDR004W	chrIV	455201	456583	+	1383	716	1147	740	601	487	540	509	479	405	524
YDR005C	chrIV	456836	458103	-	1268	264	349	171	241	191	268	227	217	265	339
YDR006C	chrIV	458542	461247	-	2706	554	786	465	600	401	581	416	690	631	826
YDR007W	chrIV	461842	462516	+	675	226	336	215	260	242	231	199	156	181	177
YDR008C	chrIV	462252	462602	-	351	1	5	1	2	4	9	1	0	2	1
YDR009W	chrIV	463434	464996	+	1563	77	137	74	89	81	109	80	93	107	125
YDR010C	chrIV	465051	465383	-	333	29	39	23	32	31	31	22	19	14	28
YDR011W	chrIV	465919	470424	+	4506	1532	2522	1318	2084	1376	2175	1170	1798	2280	3260
YDR012W	chrIV	471853	472941	+	1089	554	909	734	790	715	697	637	806	760	673
YDR013W	chrIV	473157	473783	+	627	127	168	109	147	137	141	140	85	93	97
YDR014W	chrIV	474046	475989	+	1944	77	94	63	78	45	60	62	92	96	143
YDR014W-A	chrIV	477797	478285	+	489	7	11	5	12	12	8	2	20	12	17
YDR015C	chrIV	477960	478199	-	240	0	0	0	0	0	0	0	0	0	0
YDR016C	chrIV	478474	478758	-	285	166	217	144	182	129	172	155	96	92	102
YDR017C	chrIV	479115	482267	-	3153	431	653	430	381	325	510	419	440	456	591
YDR018C	chrIV	482670	483860	-	1191	153	238	104	234	142	212	161	162	126	197
